size,bubble_sort,selection_sort,insertion_sort,sort,stable_sort
10,0.000833,0.001666,0.001083,0.000500,0.001041
25,0.002917,0.005167,0.003458,0.000375,0.002125
50,0.009792,0.017125,0.012125,0.000958,0.007667
100,0.036750,0.062125,0.041667,0.001958,0.025791
250,0.238959,0.357917,0.239792,0.006167,0.053500
500,0.887958,1.391000,0.982583,0.012083,0.182709
1000,3.778042,5.472167,3.967792,0.027041,0.232208
2500,33.020125,36.584916,23.990708,0.079916,0.514458
5000,113.288750,165.250875,129.275667,0.167834,1.653583
10000,487.147458,585.488875,452.919875,0.369458,2.379625
